##T[K]	p[bar]	E[V/mm]	v[mm/ms]	dL[mm^1/2]	dT[mm^1/2]
293.15	17	100	2686.6	0.0227779	0.0289982
293.15	17	110	2851.33	0.0229015	0.0278821
293.15	17	120	3007.86	0.0222178	0.0270976
293.15	17	130	3159.13	0.0211731	0.0271083
293.15	17	140	3297.12	0.0204116	0.026331
293.15	17	150	3418.61	0.0204606	0.0266943
293.15	17	160	3542.39	0.0202321	0.0262452
293.15	17	170	3657.13	0.0192587	0.0261796
293.15	17	180	3776.51	0.0189355	0.0256898
293.15	17	190	3873.2	0.0187975	0.0253617
293.15	17	200	3964.45	0.0185284	0.0258353
293.15	17	210	4060.89	0.017724	0.0249252
293.15	17	220	4152.25	0.0184091	0.0245607
293.15	17	230	4239.59	0.0181725	0.0248482
293.15	17	240	4321.27	0.0172839	0.0243028
293.15	17	250	4396.58	0.0179559	0.0245156
293.15	17	260	4474.53	0.0179422	0.0245425
293.15	17	270	4546.62	0.0176245	0.0239659
293.15	17	280	4622.16	0.0168318	0.0245135
293.15	17	290	4690.82	0.0169334	0.0246573
293.15	17	300	4759.1	0.016495	0.0243348
293.15	17	310	4822.82	0.016826	0.0240561
293.15	17	320	4882.89	0.0167413	0.0241437
293.15	17	330	4945.05	0.01679	0.0238922
293.15	17	340	5002.9	0.0164202	0.024202
293.15	17	350	5061.8	0.0163427	0.0240858
293.15	17	360	5120.15	0.016313	0.023587
293.15	17	370	5175.17	0.0164154	0.0237865
293.15	17	380	5232.28	0.016089	0.0241162
293.15	17	390	5277.29	0.0159716	0.0234991
293.15	17	400	5330.4	0.0161437	0.0238071
293.15	9	100	3863.03	0.0256115	0.0348446
293.15	9	110	4044.24	0.0253521	0.0343829
293.15	9	120	4213.05	0.0248313	0.0342037
293.15	9	130	4367.49	0.0242409	0.0331339
293.15	9	140	4524.92	0.0231003	0.0334507
293.15	9	150	4635.29	0.0233301	0.0333336
293.15	9	160	4778.35	0.0234962	0.0331589
293.15	9	170	4885.49	0.022879	0.0330596
293.15	9	180	5007.91	0.0227263	0.032831
293.15	9	190	5115.21	0.0225894	0.0323118
293.15	9	200	5217	0.021918	0.0319874
293.15	9	210	5306.02	0.021808	0.0324328
293.15	9	220	5419.49	0.0225572	0.0320379
293.15	9	230	5506.39	0.0214901	0.0325029
293.15	9	240	5600.8	0.0218703	0.0321109
293.15	9	250	5693.16	0.0211952	0.0319429
293.15	9	260	5783.67	0.0215927	0.0317834
293.15	9	270	5871.05	0.0216875	0.0319226
293.15	9	280	5957.92	0.021341	0.0312413
293.15	9	290	6039.9	0.0212132	0.0317379
