##T[K]	p[bar]	E[V/mm]	v[mm/ms]	dL[mm^1/2]	dT[mm^1/2]
293.15	22	280	4306.16	0.021892	0.0318721
293.15	22	290	4375.21	0.0218371	0.0315608
293.15	22	300	4442.15	0.021503	0.0316614
293.15	22	310	4513.04	0.0220443	0.0315116
293.15	22	320	4582.07	0.0221314	0.0314695
293.15	22	330	4643.62	0.0213212	0.0316177
293.15	22	340	4720.54	0.0220507	0.0318958
293.15	22	350	4775.35	0.0216866	0.031846
293.15	22	360	4848.42	0.0218986	0.0312849
293.15	22	370	4909.53	0.0219741	0.0315589
293.15	22	380	4963.1	0.0216893	0.0312589
293.15	22	390	5039.09	0.0218961	0.0307611
293.15	22	400	5089.67	0.0214394	0.0303936
293.15	4	100	5975.17	0.0510039	0.0715299
293.15	4	110	6283.79	0.0510441	0.0713711
293.15	4	120	6587.62	0.050898	0.0701887
293.15	4	130	6889.15	0.0489556	0.0693076
293.15	4	140	7190.98	0.050265	0.0685684
293.15	4	150	7468.24	0.048772	0.0675382
293.15	4	160	7742.21	0.0491391	0.067335
293.15	4	170	7997.45	0.0493252	0.0665676
293.15	4	180	8292.65	0.0484184	0.0664617
293.15	4	190	8546.75	0.0483594	0.0668186
293.15	4	200	8814.23	0.0474587	0.0646873
293.15	4	210	9053.83	0.047373	0.0647704
293.15	4	220	9326.45	0.0465006	0.0629681
293.15	4	230	9574.04	0.0473839	0.0633681
293.15	4	240	9812.27	0.0463546	0.0632319
293.15	4	250	10049.8	0.0469664	0.0630956
293.15	4	260	10291.4	0.0443361	0.0624139
293.15	4	270	10511.5	0.0454552	0.0621432
293.15	4	280	10749.6	0.0457657	0.0629722
293.15	4	290	10973.1	0.0436467	0.0627739
293.15	4	300	11204.3	0.0443765	0.0611895
293.15	4	310	11424.5	0.0441683	0.0615678
293.15	4	320	11643.6	0.0438536	0.0606363
293.15	4	330	11850.3	0.0442775	0.0606687
293.15	4	340	12078	0.0445541	0.0596963
293.15	4	350	12305.4	0.0430726	0.0605719
293.15	4	360	12482.6	0.0446314	0.0598946
293.15	4	370	12709	0.0435495	0.0589595
293.15	4	380	12924	0.0440908	0.0592369
293.15	4	390	13119.6	0.0438545	0.0581856
293.15	4	400	13336.8	0.0438603	0.0587554
293.15	31	100	2112.55	0.0230962	0.0300365
293.15	31	110	2236.41	0.0224951	0.0300449
293.15	31	120	2353.28	0.022791	0.0306158
293.15	31	130	2467.14	0.02268	0.0294865
293.15	31	140	2575.5	0.0220008	0.0298104
293.15	31	150	2673.56	0.0209948	0.0291755
293.15	31	160	2762.36	0.0214371	0.0291198
293.15	31	170	2855.91	0.0209401	0.0285609
293.15	31	180	2947.15	0.0205234	0.0286422
293.15	31	190	3037.66	0.020252	0.0281936
293.15	31	200	3115.67	0.0196617	0.0286273
293.15	31	210	3202.43	0.0197934	0.0278655
293.15	31	220	3270.25	0.0200241	0.0278632
293.15	31	230	3342.99	0.0199381	0.0276744
293.15	31	240	3409.1	0.0196569	0.0276124
293.15	31	250	3482.48	0.0196484	0.0276356
293.15	31	260	3545.53	0.0199055	0.0273315
293.15	31	270	3612.98	0.0195923	0.0277437
293.15	31	280	3667.86	0.0196077	0.0273644
293.15	31	290	3735.23	0.0196376	0.0274002
293.15	31	300	3792.21	0.0193584	0.0275094
293.15	31	310	3845.58	0.0190272	0.0272652
293.15	31	320	3901.85	0.0196909	0.0269233
293.15	31	330	3968.2	0.0187382	0.0271722
293.15	31	340	4019.79	0.0187558	0.0267927
293.15	31	350	4071.61	0.0185273	0.027393
293.15	31	360	4125.55	0.0189638	0.0268979
293.15	31	370	4177.66	0.0187834	0.0270878
293.15	31	380	4233.37	0.0193311	0.0269271
293.15	31	390	4283.86	0.0189575	0.0267707
293.15	31	400	4331.03	0.0184617	0.0265723
293.15	32	100	2076.16	0.0231047	0.030019
293.15	32	110	2192.83	0.0229385	0.0301627
293.15	32	120	2314.36	0.0228978	0.0290058
293.15	32	130	2420.93	0.0220158	0.0290057
293.15	32	140	2529.16	0.0220924	0.0284788
293.15	32	150	2630.96	0.0212984	0.028567
293.15	32	160	2718.9	0.0211707	0.0282598
293.15	32	170	2808.42	0.0214887	0.0283228
293.15	32	180	2899.15	0.0201729	0.0274733
293.15	32	190	2983.87	0.0199663	0.0281443
293.15	32	200	3073.26	0.0202396	0.0272502
293.15	32	210	3140.85	0.0202541	0.0274035
293.15	32	220	3216.64	0.0190621	0.0275198
293.15	32	230	3298.69	0.0191722	0.0268756
293.15	32	240	3355.4	0.0197213	0.0275564
293.15	32	250	3424.28	0.0197289	0.0271549
293.15	32	260	3487.74	0.0193806	0.0271005
293.15	32	270	3550.78	0.0193713	0.0272642
293.15	32	280	3613.44	0.0194902	0.0263183
293.15	32	290	3670.52	0.0188065	0.0272031
293.15	32	300	3733.71	0.0183634	0.0262906
293.15	32	310	3792.88	0.0187393	0.026668
293.15	32	320	3845.93	0.018942	0.0266804
293.15	32	330	3907.79	0.018839	0.026498
293.15	32	340	3965.88	0.0186874	0.0265591
293.15	32	350	4014.97	0.0183462	0.0268738
293.15	32	360	4072.4	0.0193473	0.026752
293.15	32	370	4120.01	0.0186327	0.0269469
293.15	32	380	4172.17	0.0181877	0.0259775
293.15	32	390	4220.9	0.0181917	0.0263869
293.15	32	400	4272.76	0.0181491	0.0266306
293.15	11	100	3689.77	0.0325077	0.0456948
293.15	11	110	3857.06	0.0314464	0.0447773
293.15	11	120	4005.52	0.0312276	0.0454328
293.15	11	130	4171.95	0.0311242	0.0453742
293.15	11	140	4318.34	0.0322197	0.0462515
293.15	11	150	4459.7	0.0309147	0.0460982
293.15	11	160	4583.17	0.0311099	0.0445949
293.15	11	170	4705.11	0.0300745	0.0452545
293.15	11	180	4834.69	0.0310795	0.0448742
293.15	11	190	4974.11	0.0299404	0.0450348
293.15	11	200	5090.88	0.0307065	0.0440822
293.15	11	210	5222.17	0.0304226	0.0434691
293.15	11	220	5336.75	0.0296411	0.043465
293.15	11	230	5453.75	0.0307791	0.0441536
293.15	11	240	5583.94	0.0315245	0.0433755
293.15	11	250	5688.96	0.0308335	0.0436481
293.15	11	260	5803.46	0.0299487	0.0445593
293.15	11	270	5921.68	0.0306999	0.0431862
293.15	11	280	6036.28	0.0305923	0.0430921
293.15	11	290	6151.64	0.0299018	0.0424823
293.15	11	300	6253.53	0.0303365	0.0431826
293.15	11	310	6361.07	0.0303717	0.04247
293.15	11	320	6468.12	0.0302175	0.0431823
293.15	11	330	6588.65	0.030806	0.043449
293.15	11	340	6689.23	0.029573	0.0419397
293.15	11	350	6787.92	0.0299817	0.0422223
293.15	11	360	6906.59	0.0298038	0.0418069
293.15	11	370	7009.99	0.0290328	0.0414019
293.15	11	380	7131.31	0.0299493	0.0415859
293.15	11	390	7212.59	0.030349	0.0410742
293.15	11	400	7336.76	0.0294858	0.0411518
293.15	10	100	3849.01	0.0332615	0.04804
293.15	10	110	4030.94	0.0335015	0.0487453
293.15	10	120	4191.02	0.0327139	0.0478993
293.15	10	130	4352.54	0.0320095	0.0479206
293.15	10	140	4512.25	0.0334754	0.0464177
293.15	10	150	4657.39	0.0325066	0.0479188
293.15	10	160	4788.5	0.0327021	0.0468193
293.15	10	170	4916.87	0.032528	0.0464028
293.15	10	180	5056.14	0.0323166	0.0465936
293.15	10	190	5207.29	0.0319905	0.0464938
293.15	10	200	5341.92	0.0317975	0.0456903
293.15	10	210	5472.04	0.0315286	0.0455093
293.15	10	220	5603.04	0.0321164	0.04663
293.15	10	230	5726.75	0.0312546	0.045803
293.15	10	240	5851.84	0.0323757	0.0447808
293.15	10	250	5983.08	0.0323822	0.0454088
293.15	10	260	6108.45	0.0317749	0.0449734
293.15	10	270	6225.78	0.0314346	0.0448965
293.15	10	280	6342.15	0.0322277	0.0434846
293.15	10	290	6464.45	0.030185	0.0435904
293.15	10	300	6588.11	0.0320164	0.0438805
293.15	10	310	6707.79	0.0316595	0.0442773
293.15	10	320	6826.2	0.0320872	0.0444241
293.15	10	330	6924.86	0.0310684	0.0434377
293.15	10	340	7053.96	0.0307736	0.0433877
